sampleID,HD10,HD11,HD12,HD13,HD14,HD15,HD16,HD17,HD18,HD19,HD1,HD20,HD21,HD22,HD23,HD24,HD25,HD26,HD27,HD28,HD29,HD2,HD30,HD31,HD32,HD33,HD34,HD35,HD36,HD37,HD38,HD39,HD3,HD40,HD41,HD42,HD43,HD44,HD45,HD46,HD47,HD48,HD49,HD4,HD50,HD51,HD52,HD53,HD54,HD55,HD56,HD57,HD58,HD59,HD5,HD60,HD61,HD62,HD63,HD64,HD65,HD66,HD67,HD68,HD69,HD6,HD70,HD71,HD72,HD73,HD74,HD75,HD76,HD77,HD78,HD79,HD7,HD80,HD81,HD82,HD83,HD8,HD9,HV10,HV11,HV12,HV13,HV14,HV15,HV16,HV17,HV18,HV19,HV1,HV20,HV21,HV22,HV23,HV24,HV25,HV26,HV27,HV28,HV29,HV2,HV30,HV31,HV3,HV4,HV5,HV6,HV7,HV8,HV9,LD10,LD11,LD12,LD13,LD14,LD15,LD17,LD18,LD19,LD1,LD20,LD21,LD22,LD23,LD24,LD25,LD26,LD27,LD28,LD29,LD2,LD30,LD31,LD32,LD34,LD35,LD36,LD37,LD38,LD39,LD3,LD40,LD41,LD42,LD43,LD44,LD46,LD47,LD48,LD49,LD4,LD50,LD51,LD52,LD53,LD54,LD55,LD56,LD57,LD58,LD59,LD5,LD60,LD61,LD62,LD63,LD64,LD65,LD66,LD67,LD68,LD69,LD6,LD70,LD71,LD72,LD73,LD74,LD75,LD76,LD77,LD78,LD79,LD7,LD80,LD81,LD82,LD83,LD84,LD85,LD86,LD87,LD88,LD89,LD8,LD90,LD91,LD92,LD93,LD94,LD95,LD96,LD97,LD98,LD9,LV10,LV11,LV13,LV14,LV15,LV16,LV17,LV18,LV19,LV1,LV20,LV21,LV22,LV23,LV24,LV25,LV2,LV3,LV4,LV5,LV6,LV7,LV8
k__Archaea,0,0,0,0,0,0,0,0,0.39518,0,0,0,0,0,0,0,0,0,0.01755,0,0.00662,0,0,0,0.49452,0.29306,0,0.72748,0,0,0,0,0,0,0,0,0,0,0,0.00582,0,0.00056,0,0,0,0,0,0,0,0,0.04631,0,0,0,0.10198,0,0,0,0,0,0,0.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01197,0,0,0,0,0,0,0,0,0.00904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00991,0,0.27082,0,0,0,0,0,0,0,0,0,0,0,1.33496,0,0,0,0,0,0,0.03906,0.06976,0,0,0,0,0,0,0,0,0.32882,0,0,0,0,0,0,0,0,0.03914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5407,0,0,0,0,0,0,0,0,0.0026,0,0,0,0,0.32089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota,0,0,0,0,0,0,0,0,0.39518,0,0,0,0,0,0,0,0,0,0.01755,0,0.00662,0,0,0,0.49452,0.29306,0,0.72748,0,0,0,0,0,0,0,0,0,0,0,0.00582,0,0.00056,0,0,0,0,0,0,0,0,0.04631,0,0,0,0.10198,0,0,0,0,0,0,0.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01197,0,0,0,0,0,0,0,0,0.00904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00991,0,0.27082,0,0,0,0,0,0,0,0,0,0,0,1.33496,0,0,0,0,0,0,0.03906,0.06976,0,0,0,0,0,0,0,0,0.32882,0,0,0,0,0,0,0,0,0.03914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5407,0,0,0,0,0,0,0,0,0.0026,0,0,0,0,0.32089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria,0,0,0,0,0,0,0,0,0.39518,0,0,0,0,0,0,0,0,0,0.01755,0,0.00662,0,0,0,0.49452,0.29306,0,0.72748,0,0,0,0,0,0,0,0,0,0,0,0.00582,0,0.00056,0,0,0,0,0,0,0,0,0.04631,0,0,0,0.10198,0,0,0,0,0,0,0.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01197,0,0,0,0,0,0,0,0,0.00904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00991,0,0.27082,0,0,0,0,0,0,0,0,0,0,0,1.33496,0,0,0,0,0,0,0.03906,0.06976,0,0,0,0,0,0,0,0,0.32528,0,0,0,0,0,0,0,0,0.03914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5407,0,0,0,0,0,0,0,0,0.0026,0,0,0,0,0.31585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales,0,0,0,0,0,0,0,0,0.39518,0,0,0,0,0,0,0,0,0,0.01755,0,0.00662,0,0,0,0.49452,0.29306,0,0.72748,0,0,0,0,0,0,0,0,0,0,0,0.00582,0,0.00056,0,0,0,0,0,0,0,0,0.04631,0,0,0,0.10198,0,0,0,0,0,0,0.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01197,0,0,0,0,0,0,0,0,0.00904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00991,0,0.27082,0,0,0,0,0,0,0,0,0,0,0,1.33496,0,0,0,0,0,0,0.03906,0.06976,0,0,0,0,0,0,0,0,0.32528,0,0,0,0,0,0,0,0,0.03914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5407,0,0,0,0,0,0,0,0,0.0026,0,0,0,0,0.31585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae,0,0,0,0,0,0,0,0,0.39518,0,0,0,0,0,0,0,0,0,0.01755,0,0.00662,0,0,0,0.49452,0.29306,0,0.72748,0,0,0,0,0,0,0,0,0,0,0,0.00582,0,0.00056,0,0,0,0,0,0,0,0,0.04631,0,0,0,0.10198,0,0,0,0,0,0,0.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01197,0,0,0,0,0,0,0,0,0.00904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00991,0,0.27082,0,0,0,0,0,0,0,0,0,0,0,1.33496,0,0,0,0,0,0,0.03906,0.06976,0,0,0,0,0,0,0,0,0.32528,0,0,0,0,0,0,0,0,0.03914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5407,0,0,0,0,0,0,0,0,0.0026,0,0,0,0,0.31585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter,0,0,0,0,0,0,0,0,0.39518,0,0,0,0,0,0,0,0,0,0,0,0.00662,0,0,0,0.42596,0.29306,0,0.72748,0,0,0,0,0,0,0,0,0,0,0,0.00582,0,0,0,0,0,0,0,0,0,0,0.04631,0,0,0,0,0,0,0,0,0,0,0.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01197,0,0,0,0,0,0,0,0,0.00904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00991,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33496,0,0,0,0,0,0,0.03906,0.06976,0,0,0,0,0,0,0,0,0.32528,0,0,0,0,0,0,0,0,0.03914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5407,0,0,0,0,0,0,0,0,0.0026,0,0,0,0,0.31585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00583,0,0,0,0.35913,0.29306,0,0.53393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04631,0,0,0,0,0,0,0,0,0,0,0.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33496,0,0,0,0,0,0,0.03906,0.06976,0,0,0,0,0,0,0,0,0.27242,0,0,0,0,0,0,0,0,0.02959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5407,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__Methanobrevibacter_smithii_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00583,0,0,0,0.35913,0.29306,0,0.53393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04631,0,0,0,0,0,0,0,0,0,0,0.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33496,0,0,0,0,0,0,0.03906,0.06976,0,0,0,0,0,0,0,0,0.27242,0,0,0,0,0,0,0,0,0.02959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5407,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified,0,0,0,0,0,0,0,0,0.39518,0,0,0,0,0,0,0,0,0,0,0,0.00079,0,0,0,0.06683,0,0,0.19355,0,0,0,0,0,0,0,0,0,0,0,0.00582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00212,0,0,0,0,0,0,0,0,0.00904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05286,0,0,0,0,0,0,0,0,0.00955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026,0,0,0,0,0.06852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01755,0,0,0,0,0,0.06855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056,0,0,0,0,0,0,0,0,0,0,0,0,0.10198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
